,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
1,Post 1,A ,"From what I have learned, I define culture as the beliefs and norms of a specific group which are passed down to later generations. This is a definition that I learned from multicultural education where we focused on the idea that our culture is a key factor in how we construct knowledge. As far as eLearning, I define it as a type of learning that is done online and very different from traditional classrooms because there is typically no face-to-face interaction and learning is done remotely without having to be in a physical classroom.

I like to think of eLearning as a way to bring different cultures together and this is how they are related. This means that people from different parts of the state, or the world for that matter, are learning with and about each other. This is one of the wonderful aspects of eLearning because it gives minority groups an opportunity to share their experiences with a wider audience than a traditional classroom would. For example, many students are uncomfortable sharing in face-to-face classroom discussions. In an online environment, you have to share your ideas and this is where many quiet students flourish because they are able to express themselves better than in a traditional classroom. Another way culture and eLearning are related is they provide opportunities to exchange ideas which are later passed on to other groups. I see this all the time in the classroom discussions we have in on our online courses. I have learned so much from my peers' responses and the experiences they've shared and have made me reflect on my own views and consider new perspectives.",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Post 1_1,C,"From what I have learned, I define culture as the beliefs and norms of a specific group which are passed down to later generations. This is a definition that I learned from multicultural education where we focused on the idea that our culture is a key factor in how we construct knowledge. As far as eLearning, I define it as a type of learning that is done online and very different from traditional classrooms because there is typically no face-to-face interaction and learning is done remotely without having to be in a physical classroom.
I like to think of eLearning as a way to bring different cultures together and this is how they are related. This means that people from different parts of the state, or the world for that matter, are learning with and about each other. This is one of the wonderful aspects of eLearning because it gives minority groups an opportunity to share their experiences with a wider audience than a traditional classroom would. For example, many students are uncomfortable sharing in face-to-face classroom discussions. In an online environment, you have to share your ideas and this is where many quiet students flourish because they are able to express themselves better than in a traditional classroom. Another way culture and eLearning are related is they provide opportunities to exchange ideas which are later passed on to other groups. I see this all the time in the classroom discussions we have in on our online courses. I have learned so much from my peers' responses and the experiences they've shared and have made me reflect on my own views and consider new perspectives.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Post 1_1_1,B,"I agree Mark that there is often a negative connotation around eLearning. My daughter was a high school junior when her school abruptly transitioned to online learning. She hated it! As a result , she did pretty poorly. Those first few months of self-isolating was really hard on her (as it was for all of us, of course). But now, five months later, this has become the new norm. And while she is only a week into her senior year with only eLearning, she is loving it. She likes that the structure gives her time to one-on-one with her teachers and there is plenty of time in the day to do assignments. It's interesting to see the change.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Post 1_1_1_1,C,"I agree Mark that there is often a negative connotation around eLearning. My daughter was a high school junior when her school abruptly transitioned to online learning. She hated it! As a result , she did pretty poorly. Those first few months of self-isolating was really hard on her (as it was for all of us, of course). But now, five months later, this has become the new norm. And while she is only a week into her senior year with only eLearning, she is loving it. She likes that the structure gives her time to one-on-one with her teachers and there is plenty of time in the day to do assignments. It's interesting to see the change.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Post 1_1_2,F,"Mark- It's interesting how you brought up the fact that online degree programs were originally frowned upon because this is something I was thinking about too. They were often seen as not as good of a program and/or taking the easy route, but now that is not the case. Online learning is now seen as the norm for working and busy professionals. Now with Covid, I really feel like society has really adapted to eLearning especially k-12 grade students.",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Post 1_1_3,G,"Mark, My organization uses eLearning in much the same way.  The real irony of it is that, if a student performs poorly on the test at the end, they often have to schedule a meeting with an instructor to go over the material.  That doesn't seem to be the best use of eLearning potential to me. LOL!
I have seen it used well in some cases.  About 12 years ago, I had to take a significant amount of on-line training with FEMA.  Their courses were pretty good - not awesome.  There was very little interaction, though.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Post 1_1_3_1,C,"Hi Peter,  All of the eLearning I've taken has been mandatory. There's something about words like compliance that create an adverse reaction to learning. I think that we've assimilated those ideas to eLearning because of our exposure to the type of content. For APS we had annual compliance training and now I have quarterly to follow the fiscal schedule. What gets me is the outdated videos and animations. Thanks for sharing. ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Post 1_1_4,O,"I agree that there are negative perceptions of eLearning Mark, and I wonder if many times it is stemming from a lack of familiarity or a resistance to alternative ways of learning. When the pandemic left the Children's Campus with no choice but to close while we all figured out safety measures and gained understanding of what was happening, we decided to embark on remote learning with toddlers and preschoolers. At first parents and teachers were very unsure how to implement the curriculum and how the children would benefit. This told me that we were focused only on the actual presence of the adults caring for children and not the relationship and learning that takes place in the classroom each day. Within a couple of weeks we had groups of preschoolers using zoom and marco polo to have cirlce time, group activities, child led show and tell, and other learning and opportunities to maintain relationships. Now that we are reopen many of the groups are still using these formats and incorporating them into their current curriculum. It has been an amazing journey to witness!",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Post 1_1_4_1,E,"That's so encouraging to hear, Lisa. Sounds like it would be worthwhile to document this whole process carefully since it's a testament to our versatility when the community is on board with new concepts. Sounds like a great action response on the part of Children's Campus.",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Post 1_1_4_1_1,O,"Thank you Eva, and that is a great idea. It has been an interesting balance to create programming that supported the children while at home, continued to build on their development, work with parents to support this at home and plan for a safe return. We are now back on campus in a mixed model method as the parents are not allowed in the campus or in classrooms and therefore the entire parent component is still happening remotely, but the children's learning is happening in the traditional way (but with all new safety protocols of course), so as you mentioned we continue to be versatile and responsive to the demands of both the care and education of the children and the health and safety of us all!",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Post 1_1_4_1_1_1,E,Good luck! Flexibility is certainly key now and moving forward. I hope the classes are helpful in that process. Certainly lots to think about!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Post 1_1_4_2,C,"We are definitely living in a time of rapid change. How have your children adjusting to online/remote learning?
I've away from the classroom for close to two years. My students were always excited to learn new tools and to use tech tools. I know that students are open to new ideas and ways of learning. I hope that they are doing well. Teachers are also very resilient and I can't wait to see how our education system and society evolves from this pandemic. ",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Post 1_1_4_2_1,O,"Hello Mark, The children adjusted well during that time and we supported parents in helping to implement and extend some of what we were working on with the children. The children are back on campus in a regular classroom setting and it was great to see that the months away did not impact the relationships they have with their teachers and peers. No doubt the continued online contact had a lot to do with that! ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Post 1_1_4_2_1_1,C,I'm so glad to hear the update! I'm glad to hear things are going great.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Post 1_2,H,"Melissa- Glad to meet you. Your point about eLearning being more community-focused is interesting. I feel that both eLearning and in person instruction have their benefits among the community; however with digital instruction it can feel that you are just talking or producing content for a computer screen instead of having a sense of a ""classroom family"".  Another drawback to eLearning involves grading, whereas a traditional teacher might give assistance with extra points or special content for a student that is struggling, in many eLearning systems the material is uniform with limited customization for each student. I feel that eLearning is good on a hybrid or alternative schedule (as many schools are doing this fall) and has the benefit of being able to learn at unlimited places and/or times; however I don't think it will fully replace in person learning due to the rigidness of many eLearning system processes and procedures.",1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Post 1_2_1,A ,"Hi Wyatt, You brought excellent points regarding some of the drawbacks that are found in eLearning. The human element is what has made traditional face-to-face learning stand the test of time. People like physical assistance and face-to-face communication and seeing someone else's body language. Virtual learning can't replace that and that is why it such a huge issue for elementary teachers. Kids need compassion and support from a human being than from a person they see on a computer screen. In today's classrooms, it is so sad to see that many kids do not have a supportive adult in their lives and teachers are the first to provide that to some children. Thank you for your insight, it really made me reflect on my personal teaching experience. ",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Post 1_2_2,B,"I agree Wyatt about the virtual wall that we face in eLearning. Even in a best case scenario, with optimum video and audio, I feel like you can't read a person's body language and personality--things that I think we subconsciously use in person to learn.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Post 1_2_3,F,"Wyatt- your point about a lack of ""classroom family"" stuck out to me because this is something I am currently facing with my high school students right now during teaching online because of Covid. Since I have yet to meet my students in person, it has been more difficult to build genuine relationships with my students on an individual basis. I have also noticed that the students aren't building relationships with eachother like they normally do when we are face to face. Another draw back I have noticed is the eLearning feels like the curriculum is less individualized than when teaching in person because when teaching online everyone is given the same assignment with the same requirements. I agree with you about  eLearning being great because students all over are able to access their classes any time and any where.",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Post 1_2_3_1,E,"Faith, Do you think that part of community building has to do with framing it differently? I look at how assiduously my kids research products they buy online: that review process indicates to me a level of interactive learning and community building which may not be overt but actually indicates that we can create a hive mind in many different situations. Would it be possible to create a thread that helps students find common interests and get comfortable sharing with one another?",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Post 1_2_1_1,D,"Hi Melissa, you brought up such a good point that I did not even consider- eLearning brings a vast array of cutlures together which makes it an important tool for learning about each other and gaining tolerance. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Post 1_2_1_2,E,"Hi Melissa, I absolutely agree with you! ELearning is an opportunity to even the playing field for individuals who are challenged in traditional classroom settings even as diverse cultural content can be shared. 
I appreciate hearing how this also plays out in your personal experience with the program. I look forward to this opportunity to share in these experiences.",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Post 1_2_1_3_1,A ,"Hi Tanya, At one point in my college journey, I was told the same thing by an advisor and it was so discouraging. I couldn't afford to quit my job and go to school, but somehow I was able to complete my elementary education degree. Now, they offer all these online courses and ways to get your degree online that were not available to me and this was just like 2 years ago! I am glad that your niece and her friends have been able to continue their education and have the accommodations they need to be successful. It's sad that a pandemic finally shook universities to make changes if they wanted to retain students. I hope this continues even after we are past this mess. I am glad that you are starting to warm up to eLearning, it is definitely a challenge for people who are used to traditional learning including instructors! Ultimately, everyone needs to be open to change and it's just crazy that it has taken this long for everyone to learn more about eLearning and work on how to make it better. ",3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Post 1_2_1_3_1_1_1,I,"Tanya, I am so sorry to hear that your niece's friends were told they could not be accommodated.  Unfortunately, it took a world-wide crisis for organizations to realize that for some things, there is a different, more inclusive way to do things.  I, too, did not like online classes when I first tried them about fifteen years ago.  However, I chalk that up to growing pains - both for programs and students.Melissa, I was telling a friend of mine when I finally graduated, that I could not have done it with the evolution of online programs.  It took me 28 years to get my degree.  Much of that had to do with the fact I could never leave work on time and missed a lot of classes.  Like you, I could not afford to quit my job.  I plan on getting this degree in two years.  Part of that has to do with the fact I would only consider a master's degree that was 100% online despite me literally living up the street from a university.  Although it is probably more work, it beats having to juggle tight work and school schedules, fight traffic, fight parking, only to listen to someone lecture for three hours while starving and wondering if your dogs can hold their bladders until you can get home to let them out.",1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Post 1_2_1_3_1_1_1_1,A ,"Hi Michelle, Yes, eLearning has opened the opportunity for full-time workers to make their dreams of obtaining a degree with a reputable university a reality! It was not long ago where the idea of online courses was an option, but now universities have to be flexible if they want to stay open and generate revenue. We have been very fortunate that we have the ability to learn in the comfort of our home, I feel that is the best accommodation for a variety of learners! ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Post 1_3,N,Hi Melissa! Good to be in class together again! I like your idea that eLearning can be a way to bring diverse cultures together. I find your analysis of quiet students' behavior in the online learning environment to be quite accurate according to the way I am seeing my students behave in our Google classroom. ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Post 1_3_1,A ,"Hey Becky!  I was so happy to see that you were in this class! :)  I am glad that we have the same views in regards to eLearning. I hope this course will prepare you to lead teachers as they continue to get acquainted with eLearning and remembering the importance of differentiation, Universal Design of Learning, and equity. I feel like as teachers these are things we are familiarized with, but it is so easy to forget about this as we adjust to virtual classrooms. ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Post 2,C,"Culture is a sum total of one's identity within an ethnic group. Culture includes food, art, traditions, celebrations, rituals, religion, beliefs, language (verbal and non-verbal). and dress. Culture is learned and transferred from one generation to another via oral traditions, interactions, and intentional teaching.  
eLearning is characterized as learning that is not in an in-person/classroom setting, using technology. This may require hardware and the use and knowledge of technology. eLearning is convenient for some and is accessible to learners in various geographic locations. eLearning is characterized as having pre-recorded learning modules that are interactive and immersive. Some eLearning modules include videos, multiple-choice assessments, and pre-recorded content. 
The connection between eLearning and culture may be that both have a set of rules, a distinct language, and practices. ",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Post 2_1,A ,"Hi Mark, I think you made an excellent point that eLearning is somewhat of a novelty in many companies when it comes to training and development and usually used to meet the compliance rules of the organization. I believe that with our current situation, eLearning is at it's prime as it's not only a resource used by higher education and organizations, but they are being used at a pre-school and elementary education level. For example, our primary educators are using LMS systems to teach and I know that many want little to do with eLearning because they are used to traditional learning. I think people are afraid of eLearning because it's a learning curve, but there are so many benefits to eLearning that are overlooked and as we start collaborating this semester, we will see how accessible it is to many different groups. 
In regards to your definition of culture and eLearning, I agree with both of your definitions because they accurately define both terms. As far as eLearning and culture having the same set of rules, can you elaborate a bit more? Are you talking about  how eLearning has norms such as netiquette and creating a social presence which are no different than the cultural norms we have to follow such as obeying traffic signs? ",2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Post 2_1_1,C,"Hi Laura, Thinking about how eLearning and culture are alike was a bit challenging. I have a biased view of eLearning as a former classroom teacher and now a facilitator for virtual learning. I acknowledge that eLearning is an effective means of learning with the potential of reaching a global audience and I realize that there are impediments to learning that may be influenced by outside factors which include access to technology, social class, and computer literacy. Culture has a set of implicit rules which are known or recognized by the members of a group. For example, in the Arabic culture children do not make eye contact with adults because it is a form of disrespect, or in Japan people don't speak out of turn or interrupt conversations to interject.  
eLearning has it's set of explicit rules which are accepted by all who opt to use the tool for learning. The rules are clear and expectations are set; the example you shared of obeying traffic lights. Another example of an explicit rule for eLearning is this class; we have clear instructions as to how we should be conducting discussions within this course with our peers. G32:H32Thank you for helping me think about this topic a bit more. ",3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Post 2_1_1_1,K,"I decided to see what Google said about Culture: 
Culture is the characteristics and knowledge of a particular group of people, encompassing language, religion, cuisine, social habits, music and arts. ... The word ""culture"" derives from a French term, which in turn derives from the Latin ""colere,"" which means to tend to the earth and grow, or cultivation and nurture.
This definition seems similar to what you guys have already suggested- ""beliefs and norms of a specific group"" or the collective identity of a group. Reading about the Latin origin made me think of the Native American teaching about the two conflicting wolves that develop inside of you.  Which one will dominate/ win the conflict?  The one that you feed.  Our collective culture will be dominated by the behavior and thoughts that we continue to express.  We will pass certain overt and covert ideas from generation to generation.  Other ideas fade out.",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Post 2_1_1_1_1,I,"Hello, Dixie.  I like the reading excerpts you introduced.  As far as feeding culture, in eLearning, we should feed good habits to create a positive culture of learning.
Hello, Mark.  I know how you feel.  At jobs, I dreaded eLearning as it was really only used for compliance.  Although the EEO and Title IX policies have a lot of very important information, they were presented dryly, and the entire organization could tell that the developers were only doing it to check a box; so, when I was asked to create online training modules for finance training, I did not want to do this.  However, after COVID-19 forced me to deliver a live training via WebEx, I am a bit more open to the idea as online training modules do not have to be dry.  However, it does help if individuals want to enroll rather than being forced to do so, but I think the same issue occurs with face-to-face trainings.",2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Post 2_1_1_1_2,P,"Dixie, I love the connection you made regarding the Native American teaching about the two conflicting wolves. I have not heard about this teaching before, but after further research, it is very enlightening! Great post! ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Post 2_1_1_2,D,"I agree with so much of what you said in your post Mark. When you are talking about explicit rules for eLearning, do you think that culture has to be considered when creating those rules? For instance, in this class we have clear rules for discussions as you mention, but do you think our instructor also considers the cultures of the students and how that may affect their communication in discussions when applying grades or when creating class expectations?",0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Post 2_1_1_2_1,C,Thanks for reading and replying to my post. I recently completed a certification in D&I and bias is one of those topics that relate to subjectivity of the content creator/evaluator.  ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Post 2_1_1_2_1_1,E,"I look forward to learning more about this. Mark, do you have that experience when you switch between languages and cultures that your biases change? I notice this all the time and it's what makes it gut wrenching for me being in Germany and not wanting to leave and then returning to the States and knowing this is home. I become intolerant of how Germans teach, while I also understand the premises in German teaching that make US teaching of certain subjects seem less valuable. And then stepping back, the amalgamation of all that offers a rich and enriching gumbo...",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Post 2_2,H,"Mark- Great post about culture being an identity. When reading your post I thought of typical school events such as cultural/world fairs, science fairs, and the like. Obviously these events include projects and work from many different cultures. What method do you think would be best to transfer those as eLearning? I know some of those events involve patrons trying the culture's food, or appreciating the art or trying on a handmade bracelet or other piece of clothing. To me, only in person learning can offer the full experience of these activities. What do you think?",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
