,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
1,Post 1,K,"I thought I would start with something easy- define cultural inclusivity.  This seems like a concept I should innately know, but I still struggle to define it.

Cultural inclusivity:  being mutually respectful, recognizing my own biases, avoiding assumptions based on specific characteristics such as race/ location/ language/ gender, possessing flexibility to accommodate all persons and ideas",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Post 1_1,D,"Hi Dixie, 

I really like your definition of cultural inclusivity. I would build off of that and add that by starting with mindset that you described, cultural inclusivity is further practiced by valuing ideas that are different than our own. Like you mentioned, we are respectful, and recognize our biases, and through that mindset we take the time to consider ideas that are different. I think it's a step beyond tolerant, to actually find value in what others bring to the table, even if we do not ultimately agree. ",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Post 1_2,E,"Hi Dixie and Stephanie,

Thanks for starting off the discussion! I am tied into my work schedule and will probably not be able to step in during the day over the next week as we move forward.

I am wondering whether we can follow the string of questions that Lani provided and see whether we can approach them as different aspects of one topic and/or if there is a causality that needs to be addressed as move forward to get to a deeper understanding of what cultural diversity is relative to eLearning in the WisCom framework.

I think Justin's summary of our answers will help move along the discussion, so please let us wait for feedback and be sure to check in with where Justin is at in synthesizing what we bring to the table.

Dixie's initial definition with Stephanie's qualification and addition are a great starting point, so I invite everyone to build on Dixie and Stephanie's suggestions - and I assume, we can reference Justin's posts as we build a wider definition, which can move us forward to looking at the theories of learning that support cultural inclusivity.

Thanks again! Eva",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Post 1_3,A,"Hi Everyone, 

Here's my interpretation, I apologize about the length, but I wanted to focus on how we can create a culturally inclusive eLearning experience using the WisCom framework. 

My definition of cultural inclusivity is the act of incorporating cultures into something. In terms of eLearning, this means that an instructor should get to know their students and learn more about their cultures. This allows the instructor to create content that is relevant to everyone and does not contain language barriers and free of stereotypes. As discussed in chapter 1, instructional designers should think about the three levels of adapting a course which are translation, localization, and modularization (Marinetti & Dunn, 2012). This process meets the requirements of creating a culturally inclusive eLearning experience because it is removing cultural barriers that prevent learners from interacting with the content.

Instructional designers can create a culturally inclusive classroom by using the ingredients of the WisCom framework: 

Communication: Through communication, learners can pass on their cultural knowledge to others as opposed to allowing one dominant group to be held responsible for passing on knowledge such as the instructor. It also allows people to understand each other better and help the instructor understand what is needed for learners to be successful and valued within the eLearning community. 
Community: Cultural inclusivity allows for communities to develop where people in an online environment can come together and build a tight-knit group. I noticed how comfortable we are interacting with each other on the discussion boards that when we met for our second Zoom meeting, some of us were interacting like we've known each other for a long time! That is one of the wonderful things about building a community that is culturally inclusive where people respect each other's views and choices.
Technology: We need to be cognizant that not everyone knows how to use a computer, or does not have the bandwidth to do certain things so we need to be patient, teach others, and provide different resources so everyone can meet learning objectives. A culturally inclusive eLearning course does not solely rely on technology; they provide other mediums such as books, handouts, and other resources.
Co-mentoring: We need to work with people of different backgrounds which was something recommended by Tao & Cornell (2003). Co-mentoring is also a great way to provide scaffolding which might be needed for some learners to be successful, and learn from each other.
Problem- solving and collaborative inquiry cycle: It is important to remember that not everyone has the same thought process and some cultures focus more on collaborative thinking than individual thinking (Bentley, Tinney, & Chia, 2005). Culturally inclusive classrooms are a mix of individual and collaborative thinking just like we are doing right now. We are sharing our views and synthesizing them into a summary at the end. 
Wisdom: A ""wise"" instructional designer intentionally creates a culturally inclusive eLearning experience by putting their own culture aside and looking for ways to build a strong learning community
Transformational learning: transformational learning takes place when learning environments allow learners to change their ways of thinking by interacting with learners of a different culture. This is the only way that transformational learning takes place, in my opinion, because sticking to our own beliefs or cultural group will not produce genuine transformational learning because we are not giving up anything. 
Learner support: Cultural inclusivity is all about providing support for the learner. A true culturally inclusive eLearning experience has different support systems for every learner to be successful.

Resources

Bentley, J.P.H., Tinney, M.V., & Chia, B.H. (2005). Intercultural internet-based learning: Know your audience and what it values. Educational Technology Research & Development, 53(2), 117-127.

Gunawardena, C. N., Frechette, C., & Layne, L. (2018). Culturally Inclusive Instructional Design?: A Framework and Guide to Building Online Wisdom Communities. Routledge.

Marinetti, A., & Dunn, P. (2002). Cultural adaptation: Necessity for global e-learning. Retrieved August 15, 2017, from www.linezine.com/7.2/articles/pdamca.htm

Pan, C. -C., Tsai, M. -H., Tsai, P. -Y., Tao, Y., & Cornell, R. (2003). Technology's impact: Symbiotic or asymbiotic impact on differing cultures? Educational Media International, 40(3/4), 319-330.",4,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Post 1_3_1,E,"Melissa,

As always, thank you for thoroughly and insightfully pushing forward the discussion and expanding what cultural inclusivity  in the context of our readings can look like. I invite others to elaborate on the principles of "" translation, localization, and modularization "" Melissa brings up and discuss the WisCom framework - perhaps you can relay instances in which one or the other WisCom framework touch points presented a challenge or you encountered a positive solution. There were already some interesting points brought up in our introductory culture/eLearning discussion that would illustrate some of these.

Thank you! Eva",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Post 1_3_2,B,"Hmm, your mention of ""incorporating cultures into something"" gives me pause for thought. I really approached the definition of cultural inclusivity as one that specifically doesn't exclude someone's culture, but your definition definitely takes a proactive approach!",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Post 1_3_2_1,A,"You bring up an excellent point, cultural inclusivity does not exclude someone's culture. I feel your definition aligns better with my vision.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Post 1_4,B,I spent a lot of time thinking about this too! I sifted through many definitions to come to my own interpretation. It does seem like a term that we understand inherently but struggle to articulate!,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Post 1_4_1,G,"It sure can be!  Its a little like ""fair"" or ""unbiased"".  I have a hard time putting it into words, but I think I know it when I see it.  
But, those things can mean very different things to different people.  Maybe it is the same with this?",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Post 1_5,C,"Hi Dixie, Like culture, I find that defining cultural inclusivity is challenging. How would you apply your definition of cultural inclusivity to an environment where we don't know learners' location, preferred learning language, and ethnic identity? ",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
